,X,Y,y_pred,geometry
4240,682000.0,1538200.0,1.0,POINT (682000 1538200)
4241,662000.0,1702200.0,0.0,POINT (662000 1702200)
4242,640000.0,1698200.0,0.0,POINT (640000 1698200)
4243,730000.0,1672200.0,1.0,POINT (730000 1672200)
4244,786000.0,1692200.0,0.0,POINT (786000 1692200)
4245,738000.0,1658200.0,0.0,POINT (738000 1658200)
4246,692000.0,1650200.0,0.0,POINT (692000 1650200)
4247,682000.0,1578200.0,0.0,POINT (682000 1578200)
4248,688000.0,1546200.0,0.0,POINT (688000 1546200)
4249,770000.0,1594200.0,0.0,POINT (770000 1594200)
4250,716000.0,1546200.0,1.0,POINT (716000 1546200)
4251,742000.0,1594200.0,0.0,POINT (742000 1594200)
4252,710000.0,1658200.0,0.0,POINT (710000 1658200)
4253,720000.0,1650200.0,0.0,POINT (720000 1650200)
4254,758000.0,1692200.0,0.0,POINT (758000 1692200)
4255,664000.0,1728200.0,0.0,POINT (664000 1728200)
4256,652000.0,1698200.0,0.0,POINT (652000 1698200)
4257,648000.0,1636200.0,0.0,POINT (648000 1636200)
4258,792000.0,1730200.0,0.0,POINT (792000 1730200)
4259,704000.0,1550200.0,0.0,POINT (704000 1550200)
4260,716000.0,1736200.0,0.0,POINT (716000 1736200)
4261,754000.0,1590200.0,0.0,POINT (754000 1590200)
4262,656000.0,1534200.0,0.0,POINT (656000 1534200)
4263,716000.0,1550200.0,1.0,POINT (716000 1550200)
4264,688000.0,1736200.0,0.0,POINT (688000 1736200)
4265,742000.0,1590200.0,0.0,POINT (742000 1590200)
4266,780000.0,1730200.0,0.0,POINT (780000 1730200)
4267,676000.0,1636200.0,0.0,POINT (676000 1636200)
4268,736000.0,1682200.0,0.0,POINT (736000 1682200)
4269,642000.0,1646200.0,0.0,POINT (642000 1646200)
4270,636000.0,1574200.0,1.0,POINT (636000 1574200)
4271,618000.0,1530200.0,1.0,POINT (618000 1530200)
4272,660000.0,1598200.0,0.0,POINT (660000 1598200)
4273,694000.0,1714200.0,1.0,POINT (694000 1714200)
4274,718000.0,1720200.0,0.0,POINT (718000 1720200)
4275,744000.0,1606200.0,0.0,POINT (744000 1606200)
4276,684000.0,1668200.0,0.0,POINT (684000 1668200)
4277,630000.0,1644200.0,0.0,POINT (630000 1644200)
4278,678000.0,1616200.0,1.0,POINT (678000 1616200)
4279,676000.0,1696200.0,0.0,POINT (676000 1696200)
4280,642000.0,1644200.0,0.0,POINT (642000 1644200)
4281,648000.0,1696200.0,0.0,POINT (648000 1696200)
4282,626000.0,1542200.0,0.0,POINT (626000 1542200)
4283,690000.0,1720200.0,1.0,POINT (690000 1720200)
4284,732000.0,1606200.0,0.0,POINT (732000 1606200)
4285,650000.0,1562200.0,1.0,POINT (650000 1562200)
4286,630000.0,1530200.0,0.0,POINT (630000 1530200)
4287,632000.0,1598200.0,0.0,POINT (632000 1598200)
4288,724000.0,1682200.0,0.0,POINT (724000 1682200)
4289,622000.0,1740200.0,0.0,POINT (622000 1740200)
4290,670000.0,1646200.0,0.0,POINT (670000 1646200)
4291,682000.0,1526200.0,1.0,POINT (682000 1526200)
4292,688000.0,1574200.0,0.0,POINT (688000 1574200)
4293,626000.0,1714200.0,0.0,POINT (626000 1714200)
4294,614000.0,1630200.0,0.0,POINT (614000 1630200)
4295,628000.0,1666200.0,0.0,POINT (628000 1666200)
4296,736000.0,1668200.0,1.0,POINT (736000 1668200)
4297,610000.0,1616200.0,0.0,POINT (610000 1616200)
4298,790000.0,1708200.0,0.0,POINT (790000 1708200)
4299,666000.0,1720200.0,0.0,POINT (666000 1720200)
4300,668000.0,1586200.0,0.0,POINT (668000 1586200)
